layer,lang_a,lang_b,point_estimate,ci_low,ci_high,ci_level,boot_std
1,bengali,gujarati,0.06784234421068243,0.06645515419711591,0.06983660897125249,0.95,0.0008675694068469573
1,bengali,punjabi,0.12076073154447452,0.11715932547198281,0.1240820379252105,0.95,0.001665584424929595
1,bengali,urdu,0.09956795595385302,0.0976820760415742,0.10230741912868326,0.95,0.0012181805319660117
1,bengali,tamil,0.06707310432945174,0.06503390403151842,0.0694132895007419,0.95,0.0011086382164709006
1,bengali,telugu,0.06531487377721222,0.06367670625727664,0.06714014981468658,0.95,0.0008888046746169259
1,bengali,malayalam,0.06481451432347651,0.06288075315779765,0.06736477998260482,0.95,0.0011571543194037852
1,bengali,kannada,0.07541839462035135,0.07383714539448481,0.07748952281730025,0.95,0.0009881753770942677
1,gujarati,punjabi,0.15421727338085944,0.15211516842989545,0.15671668905674552,0.95,0.0012966453432703238
1,gujarati,urdu,0.12391986872672765,0.12176048449658158,0.12642976951997395,0.95,0.0012956075794121414
1,gujarati,tamil,0.11657207519381432,0.11453124922324232,0.11927134338211755,0.95,0.0012263635206079646
1,gujarati,telugu,0.09788485496332561,0.09550678642520259,0.09996433402074824,0.95,0.0012121596336280823
1,gujarati,malayalam,0.07350487879110311,0.07136876931211787,0.0756168032513155,0.95,0.0010899535215943396
1,gujarati,kannada,0.125363169076627,0.12305170177390919,0.12800656088544524,0.95,0.001187093310619669
1,punjabi,urdu,0.14867083482952972,0.144812128186718,0.1528386844560186,0.95,0.0020859494582620135
1,punjabi,tamil,0.19076845084303717,0.18814537169424553,0.19461426314820568,0.95,0.0016951781417578586
1,punjabi,telugu,0.16903846276429937,0.16545060174855694,0.17304938643232642,0.95,0.0018884720795888637
1,punjabi,malayalam,0.15869212218931153,0.1560988622126033,0.16114059912274342,0.95,0.001382525535009295
1,punjabi,kannada,0.18581118411448064,0.18227059046362715,0.1891097100529101,0.95,0.0018702146140202403
1,urdu,tamil,0.1427493917562848,0.13993474100412118,0.14587828583415827,0.95,0.001540039769994356
1,urdu,telugu,0.12934214194660956,0.12579303219787882,0.13269786334561745,0.95,0.0016601091513936898
1,urdu,malayalam,0.13880192620203113,0.136039104413256,0.14229581609944694,0.95,0.0016577837446250048
1,urdu,kannada,0.12589949376303405,0.12313900964445963,0.12879682705187204,0.95,0.0014191554998940563
1,tamil,telugu,0.079525131997816,0.07772351638700896,0.08164263709384843,0.95,0.0009683518190562682
1,tamil,malayalam,0.0779636140931967,0.07609441386198443,0.08012711744885412,0.95,0.0011138802650323013
1,tamil,kannada,0.11649484812714658,0.11440465623183342,0.11890657110344502,0.95,0.0012125565308783973
1,telugu,malayalam,0.06967883896590765,0.06767510653273423,0.07202249842160666,0.95,0.001132390387580199
1,telugu,kannada,0.06404012507436128,0.062487139388602425,0.06598526348521526,0.95,0.0008652957039639317
1,malayalam,kannada,0.10910558060095248,0.10739206445898838,0.11175157023121779,0.95,0.0011415575602975328
2,english,hindi,0.13866146638908233,0.13488821828192551,0.14311624748933535,0.95,0.0021211818532050775
2,english,marathi,0.1568755996135277,0.15270732578822152,0.16148315873505514,0.95,0.00221722294484162
2,english,bengali,0.11058327556237253,0.10846345041009384,0.11282266887065262,0.95,0.001252727929491338
2,english,gujarati,0.16319817345157445,0.1598201770310061,0.1667536546653616,0.95,0.0019064124453412666
2,english,punjabi,0.17971117328607447,0.17633161670069844,0.18348774707618384,0.95,0.0018838699774188668
2,english,urdu,0.2063676805888591,0.2012438953774822,0.21114551836478218,0.95,0.0025569400202064755
2,english,tamil,0.1098455253288562,0.10711502427505006,0.11272166744157754,0.95,0.0015244169135802557
2,english,telugu,0.11931030523517168,0.11723952129475898,0.12206374264951834,0.95,0.0012619685383868716
2,english,malayalam,0.16812922261209517,0.1643005685788964,0.1719806157184898,0.95,0.002079455657615867
2,english,kannada,0.13470300244706773,0.13235363885263512,0.13747332779438837,0.95,0.0012994880992720094
2,hindi,marathi,0.008841691347614276,0.007953087572083819,0.010397057426640016,0.95,0.0006062128799399898
2,hindi,bengali,0.07309691828018614,0.07108978915267777,0.07532513085396919,0.95,0.001071179728143701
2,hindi,gujarati,0.07393479528924236,0.0719469914517754,0.0762000964820187,0.95,0.0011157612874146692
2,hindi,punjabi,0.13851872149312486,0.13601993325636227,0.14097499913591524,0.95,0.0012980502834551246
2,hindi,urdu,0.06155029995531433,0.05972965214544337,0.06341275376146102,0.95,0.0010157167946587397
2,hindi,tamil,0.10626672032246606,0.10405164334968926,0.1084100641157813,0.95,0.0011532276157611868
2,hindi,telugu,0.09265338850586469,0.0908233680056697,0.0949966137959639,0.95,0.0011851176841560322
2,hindi,malayalam,0.13293961006084704,0.12869716414796792,0.1373916352646366,0.95,0.0020833704938760054
2,hindi,kannada,0.11854156111066873,0.11596159760419475,0.12173088708934132,0.95,0.0015242612335372475
2,marathi,bengali,0.07027319685748956,0.06862326350069396,0.07261657077449708,0.95,0.0009754625622382973
2,marathi,gujarati,0.05908413040461212,0.05769388027372996,0.06078491289023128,0.95,0.000793786063741598
2,marathi,punjabi,0.13428162313940803,0.13206840354478713,0.13682325595786268,0.95,0.0012531617958616804
2,marathi,urdu,0.0581726694547488,0.05666471742091891,0.06011547981154187,0.95,0.000911847273362993
2,marathi,tamil,0.10246438755326917,0.10048606847743738,0.10485365589621515,0.95,0.0011893489501141193
2,marathi,telugu,0.08345267032777583,0.0813576888219466,0.08539141268153796,0.95,0.001050211482619071
2,marathi,malayalam,0.11601962648126636,0.11317779992431753,0.11933674929504769,0.95,0.001705935876520857
2,marathi,kannada,0.11174595333628953,0.10929798129209684,0.114428828750314,0.95,0.0013334469819264337
2,bengali,gujarati,0.09078161925474204,0.08891624452677634,0.09278500981976226,0.95,0.0009648032340508803
2,bengali,punjabi,0.13955770386436597,0.1369173010868407,0.14208494428439875,0.95,0.0013308552149245232
2,bengali,urdu,0.1277376563636041,0.125236367404159,0.13103154766718997,0.95,0.0014226740188470139
2,bengali,tamil,0.03401283015738275,0.0330322303181526,0.03545235314154868,0.95,0.0006585964198308817
2,bengali,telugu,0.059549800396381254,0.05855989727817791,0.0611068111829323,0.95,0.0006896112708808859
2,bengali,malayalam,0.09121522358505836,0.08860814707213348,0.0940882847112763,0.95,0.0013883655427622578
2,bengali,kannada,0.08450917207908923,0.08252265697048014,0.08637655197566753,0.95,0.000989940625675995
2,gujarati,punjabi,0.07114540166251745,0.06897073378707151,0.07334406422905468,0.95,0.0011513995653657189
2,gujarati,urdu,0.12795993200950764,0.1255837119154367,0.1311025146988853,0.95,0.0013589113123761805
2,gujarati,tamil,0.1056236511172587,0.10389826343510002,0.10819633529037023,0.95,0.001109050064082378
2,gujarati,telugu,0.061635588352706064,0.05994103945874344,0.06381116473056435,0.95,0.0010050053409811747
2,gujarati,malayalam,0.09363060489578634,0.09124005474251312,0.09612582775076803,0.95,0.0013455777065407458
2,gujarati,kannada,0.0822993495854131,0.07991408677454379,0.08439686809453274,0.95,0.0010926152721012952
2,punjabi,urdu,0.17282010204014958,0.17027631009331237,0.17538815754803244,0.95,0.0013802823888991417
2,punjabi,tamil,0.1279691428368794,0.12612246263067348,0.13002500149236204,0.95,0.0010942833677737487
2,punjabi,telugu,0.11228338465394927,0.10951609288686269,0.11509338727195972,0.95,0.001403626680952693
2,punjabi,malayalam,0.09766385002627877,0.09451686960727093,0.10124472768076222,0.95,0.0017891023652857707
2,punjabi,kannada,0.12455793488196161,0.1218192825380219,0.1272777677354948,0.95,0.0013263785047564222
2,urdu,tamil,0.1644770228086466,0.16204556646384638,0.16738380507875428,0.95,0.001500329972916249
2,urdu,telugu,0.13669933397789957,0.13381133671460405,0.13996118574264751,0.95,0.0014718535430516336
2,urdu,malayalam,0.1502250430271703,0.1470890086100825,0.15413173216653903,0.95,0.0018630743323732784
2,urdu,kannada,0.16089181388303783,0.15760949882292177,0.16429833772444077,0.95,0.0016351648449957278
2,tamil,telugu,0.06931936656311029,0.06761955932063919,0.07158322648800138,0.95,0.0010382308837913164
2,tamil,malayalam,0.0899682153718909,0.08838469248587434,0.09204829945590977,0.95,0.0009612087259637112
2,tamil,kannada,0.08836807873169299,0.08651669063404219,0.09037639096807809,0.95,0.0009499703754094668
