language,family,condition,group,trial,loss,delta_vs_baseline
urdu,Indo-Aryan,baseline,,,1.6125249862670898,0.0
urdu,Indo-Aryan,targeted,Indo-Aryan,,4.212071418762207,2.599546432495117
urdu,Indo-Aryan,targeted,Indo-European,,2.307708263397217,0.695183277130127
urdu,Indo-Aryan,targeted,Dravidian,,2.353733539581299,0.741208553314209
urdu,Indo-Aryan,random_control,,0.0,3.000622272491455,1.3880972862243652
urdu,Indo-Aryan,random_control,,1.0,3.233898162841797,1.621373176574707
urdu,Indo-Aryan,random_control,,2.0,3.437115430831909,1.8245904445648193
urdu,Indo-Aryan,random_control,,3.0,2.7692923545837402,1.1567673683166504
urdu,Indo-Aryan,random_control,,4.0,2.613767385482788,1.0012423992156982
urdu,Indo-Aryan,random_control,,5.0,3.757741928100586,2.145216941833496
urdu,Indo-Aryan,random_control,,6.0,2.9844775199890137,1.3719525337219238
urdu,Indo-Aryan,random_control,,7.0,2.727673292160034,1.1151483058929443
urdu,Indo-Aryan,random_control,,8.0,2.8233706951141357,1.210845708847046
urdu,Indo-Aryan,random_control,,9.0,2.696445941925049,1.083920955657959
tamil,Dravidian,baseline,,,0.7583938241004944,0.0
tamil,Dravidian,targeted,Indo-Aryan,,2.2025625705718994,1.444168746471405
tamil,Dravidian,targeted,Indo-European,,1.2047780752182007,0.4463842511177063
tamil,Dravidian,targeted,Dravidian,,1.3676280975341797,0.6092342734336853
tamil,Dravidian,random_control,,0.0,1.7504757642745972,0.9920819401741028
tamil,Dravidian,random_control,,1.0,2.4742238521575928,1.7158300280570984
tamil,Dravidian,random_control,,2.0,2.604339122772217,1.8459452986717224
tamil,Dravidian,random_control,,3.0,1.5128369331359863,0.7544431090354919
tamil,Dravidian,random_control,,4.0,1.349425196647644,0.5910313725471497
tamil,Dravidian,random_control,,5.0,2.5792434215545654,1.820849597454071
tamil,Dravidian,random_control,,6.0,1.6935945749282837,0.9352007508277893
tamil,Dravidian,random_control,,7.0,1.5191057920455933,0.7607119679450989
tamil,Dravidian,random_control,,8.0,1.5964041948318481,0.8380103707313538
tamil,Dravidian,random_control,,9.0,1.62043297290802,0.8620391488075256
telugu,Dravidian,baseline,,,0.8202434778213501,0.0
telugu,Dravidian,targeted,Indo-Aryan,,2.207120418548584,1.3868769407272339
telugu,Dravidian,targeted,Indo-European,,1.4919418096542358,0.6716983318328857
telugu,Dravidian,targeted,Dravidian,,1.7812951803207397,0.9610517024993896
telugu,Dravidian,random_control,,0.0,2.226595640182495,1.406352162361145
telugu,Dravidian,random_control,,1.0,2.6964855194091797,1.8762420415878296
telugu,Dravidian,random_control,,2.0,3.0815353393554688,2.2612918615341187
telugu,Dravidian,random_control,,3.0,1.9345544576644897,1.1143109798431396
telugu,Dravidian,random_control,,4.0,1.6611663103103638,0.8409228324890137
telugu,Dravidian,random_control,,5.0,3.4459962844848633,2.625752806663513
telugu,Dravidian,random_control,,6.0,2.0126523971557617,1.1924089193344116
telugu,Dravidian,random_control,,7.0,1.7637243270874023,0.9434808492660522
telugu,Dravidian,random_control,,8.0,1.832940697669983,1.0126972198486328
telugu,Dravidian,random_control,,9.0,1.7959022521972656,0.9756587743759155
malayalam,Dravidian,baseline,,,0.7700535655021667,0.0
malayalam,Dravidian,targeted,Indo-Aryan,,2.227418899536133,1.457365334033966
malayalam,Dravidian,targeted,Indo-European,,1.369184970855713,0.5991314053535461
malayalam,Dravidian,targeted,Dravidian,,1.7349501848220825,0.9648966193199158
malayalam,Dravidian,random_control,,0.0,2.0165231227874756,1.2464695572853088
malayalam,Dravidian,random_control,,1.0,2.758875608444214,1.9888220429420471
malayalam,Dravidian,random_control,,2.0,3.222607135772705,2.4525535702705383
malayalam,Dravidian,random_control,,3.0,1.8763376474380493,1.1062840819358826
malayalam,Dravidian,random_control,,4.0,1.6083805561065674,0.8383269906044006
malayalam,Dravidian,random_control,,5.0,3.3800158500671387,2.609962284564972
malayalam,Dravidian,random_control,,6.0,1.8205738067626953,1.0505202412605286
malayalam,Dravidian,random_control,,7.0,1.7925541400909424,1.0225005745887756
malayalam,Dravidian,random_control,,8.0,1.7405787706375122,0.9705252051353455
malayalam,Dravidian,random_control,,9.0,1.864734172821045,1.0946806073188782
kannada,Dravidian,baseline,,,0.8170037269592285,0.0
kannada,Dravidian,targeted,Indo-Aryan,,2.4494287967681885,1.63242506980896
kannada,Dravidian,targeted,Indo-European,,1.5780888795852661,0.7610851526260376
kannada,Dravidian,targeted,Dravidian,,1.691626787185669,0.8746230602264404
kannada,Dravidian,random_control,,0.0,2.0725955963134766,1.255591869354248
kannada,Dravidian,random_control,,1.0,2.694781541824341,1.8777778148651123
kannada,Dravidian,random_control,,2.0,3.4280314445495605,2.611027717590332
kannada,Dravidian,random_control,,3.0,2.065251588821411,1.2482478618621826
kannada,Dravidian,random_control,,4.0,1.7263294458389282,0.9093257188796997
kannada,Dravidian,random_control,,5.0,3.598487615585327,2.7814838886260986
kannada,Dravidian,random_control,,6.0,2.003289222717285,1.1862854957580566
kannada,Dravidian,random_control,,7.0,1.959447979927063,1.1424442529678345
kannada,Dravidian,random_control,,8.0,1.8083564043045044,0.9913526773452759
kannada,Dravidian,random_control,,9.0,2.009173631668091,1.1921699047088623
