language,family,condition,group,trial,loss,delta_vs_baseline
marathi,Indo-Aryan,targeted,Indo-European,,1.4956746101379395,0.08658039569854736
marathi,Indo-Aryan,targeted,Dravidian,,1.7238489389419556,0.3147547245025635
marathi,Indo-Aryan,random_control,,0.0,1.5459389686584473,0.13684475421905518
marathi,Indo-Aryan,random_control,,1.0,1.7400422096252441,0.33094799518585205
marathi,Indo-Aryan,random_control,,2.0,2.015516757965088,0.6064225435256958
marathi,Indo-Aryan,random_control,,3.0,1.7250639200210571,0.31596970558166504
marathi,Indo-Aryan,random_control,,4.0,1.5439136028289795,0.1348193883895874
marathi,Indo-Aryan,random_control,,5.0,1.6060001850128174,0.1969059705734253
marathi,Indo-Aryan,random_control,,6.0,2.057049036026001,0.6479548215866089
marathi,Indo-Aryan,random_control,,7.0,1.58087956905365,0.1717853546142578
marathi,Indo-Aryan,random_control,,8.0,1.6947953701019287,0.2857011556625366
marathi,Indo-Aryan,random_control,,9.0,1.8727080821990967,0.4636138677597046
bengali,Indo-Aryan,baseline,,,1.1717822551727295,0.0
bengali,Indo-Aryan,targeted,Indo-Aryan,,1.5446617603302002,0.3728795051574707
bengali,Indo-Aryan,targeted,Indo-European,,1.340854525566101,0.16907227039337158
bengali,Indo-Aryan,targeted,Dravidian,,1.5013394355773926,0.3295571804046631
bengali,Indo-Aryan,random_control,,0.0,1.3168540000915527,0.14507174491882324
bengali,Indo-Aryan,random_control,,1.0,1.4344481229782104,0.26266586780548096
bengali,Indo-Aryan,random_control,,2.0,1.9375221729278564,0.765739917755127
bengali,Indo-Aryan,random_control,,3.0,1.4474509954452515,0.275668740272522
bengali,Indo-Aryan,random_control,,4.0,1.2774790525436401,0.10569679737091064
bengali,Indo-Aryan,random_control,,5.0,1.3673293590545654,0.19554710388183594
bengali,Indo-Aryan,random_control,,6.0,1.964775562286377,0.7929933071136475
bengali,Indo-Aryan,random_control,,7.0,1.3562180995941162,0.18443584442138672
bengali,Indo-Aryan,random_control,,8.0,1.4284887313842773,0.25670647621154785
bengali,Indo-Aryan,random_control,,9.0,1.6016093492507935,0.42982709407806396
gujarati,Indo-Aryan,baseline,,,1.0605255365371704,0.0
gujarati,Indo-Aryan,targeted,Indo-Aryan,,1.2986031770706177,0.23807764053344727
gujarati,Indo-Aryan,targeted,Indo-European,,1.1500940322875977,0.08956849575042725
gujarati,Indo-Aryan,targeted,Dravidian,,1.4847350120544434,0.42420947551727295
gujarati,Indo-Aryan,random_control,,0.0,1.3414310216903687,0.28090548515319824
gujarati,Indo-Aryan,random_control,,1.0,1.2464020252227783,0.1858764886856079
gujarati,Indo-Aryan,random_control,,2.0,1.4822242259979248,0.4216986894607544
gujarati,Indo-Aryan,random_control,,3.0,1.298279047012329,0.2377535104751587
gujarati,Indo-Aryan,random_control,,4.0,1.2912647724151611,0.23073923587799072
gujarati,Indo-Aryan,random_control,,5.0,1.2149070501327515,0.15438151359558105
gujarati,Indo-Aryan,random_control,,6.0,1.4567264318466187,0.39620089530944824
gujarati,Indo-Aryan,random_control,,7.0,1.2765928506851196,0.21606731414794922
gujarati,Indo-Aryan,random_control,,8.0,1.222198247909546,0.1616727113723755
gujarati,Indo-Aryan,random_control,,9.0,1.296180248260498,0.23565471172332764
punjabi,Indo-Aryan,baseline,,,1.1126874685287476,0.0
punjabi,Indo-Aryan,targeted,Indo-Aryan,,1.3914434909820557,0.2787560224533081
punjabi,Indo-Aryan,targeted,Indo-European,,1.1891109943389893,0.0764235258102417
punjabi,Indo-Aryan,targeted,Dravidian,,1.6081492900848389,0.4954618215560913
punjabi,Indo-Aryan,random_control,,0.0,1.3166069984436035,0.20391952991485596
punjabi,Indo-Aryan,random_control,,1.0,1.3994094133377075,0.28672194480895996
punjabi,Indo-Aryan,random_control,,2.0,1.5602821111679077,0.44759464263916016
punjabi,Indo-Aryan,random_control,,3.0,1.3998069763183594,0.2871195077896118
punjabi,Indo-Aryan,random_control,,4.0,1.325993537902832,0.21330606937408447
punjabi,Indo-Aryan,random_control,,5.0,1.2156144380569458,0.10292696952819824
punjabi,Indo-Aryan,random_control,,6.0,1.5027717351913452,0.39008426666259766
punjabi,Indo-Aryan,random_control,,7.0,1.3847341537475586,0.27204668521881104
punjabi,Indo-Aryan,random_control,,8.0,1.2337396144866943,0.12105214595794678
punjabi,Indo-Aryan,random_control,,9.0,1.3247489929199219,0.21206152439117432
urdu,Indo-Aryan,baseline,,,2.3168392181396484,0.0
urdu,Indo-Aryan,targeted,Indo-Aryan,,3.052950859069824,0.7361116409301758
urdu,Indo-Aryan,targeted,Indo-European,,2.4033472537994385,0.08650803565979004
urdu,Indo-Aryan,targeted,Dravidian,,2.537891387939453,0.2210521697998047
urdu,Indo-Aryan,random_control,,0.0,2.5117602348327637,0.19492101669311523
urdu,Indo-Aryan,random_control,,1.0,2.5721664428710938,0.2553272247314453
urdu,Indo-Aryan,random_control,,2.0,3.3171169757843018,1.0002777576446533
urdu,Indo-Aryan,random_control,,3.0,2.5663866996765137,0.24954748153686523
urdu,Indo-Aryan,random_control,,4.0,2.4726860523223877,0.15584683418273926
urdu,Indo-Aryan,random_control,,5.0,2.510272979736328,0.1934337615966797
urdu,Indo-Aryan,random_control,,6.0,3.2497401237487793,0.9329009056091309
urdu,Indo-Aryan,random_control,,7.0,2.664092540740967,0.34725332260131836
urdu,Indo-Aryan,random_control,,8.0,2.421435832977295,0.10459661483764648
urdu,Indo-Aryan,random_control,,9.0,2.748548746109009,0.43170952796936035
tamil,Dravidian,baseline,,,1.234525442123413,0.0
tamil,Dravidian,targeted,Indo-Aryan,,1.4520339965820312,0.21750855445861816
tamil,Dravidian,targeted,Indo-European,,1.4306936264038086,0.1961681842803955
tamil,Dravidian,targeted,Dravidian,,1.8845462799072266,0.6500208377838135
tamil,Dravidian,random_control,,0.0,1.3269667625427246,0.09244132041931152
tamil,Dravidian,random_control,,1.0,1.4557855129241943,0.22126007080078125
tamil,Dravidian,random_control,,2.0,1.8640245199203491,0.629499077796936
tamil,Dravidian,random_control,,3.0,1.4582221508026123,0.22369670867919922
tamil,Dravidian,random_control,,4.0,1.293523907661438,0.0589984655380249
tamil,Dravidian,random_control,,5.0,1.4563180208206177,0.2217925786972046
tamil,Dravidian,random_control,,6.0,1.870347023010254,0.6358215808868408
tamil,Dravidian,random_control,,7.0,1.5132583379745483,0.27873289585113525
tamil,Dravidian,random_control,,8.0,1.4086613655090332,0.17413592338562012
tamil,Dravidian,random_control,,9.0,1.536581039428711,0.30205559730529785
telugu,Dravidian,baseline,,,1.0980738401412964,0.0
telugu,Dravidian,targeted,Indo-Aryan,,1.3122718334197998,0.21419799327850342
telugu,Dravidian,targeted,Indo-European,,1.458372950553894,0.36029911041259766
telugu,Dravidian,targeted,Dravidian,,1.686663269996643,0.5885894298553467
telugu,Dravidian,random_control,,0.0,1.3640028238296509,0.2659289836883545
telugu,Dravidian,random_control,,1.0,1.312498688697815,0.21442484855651855
telugu,Dravidian,random_control,,2.0,1.7926685810089111,0.6945947408676147
telugu,Dravidian,random_control,,3.0,1.3478702306747437,0.24979639053344727
telugu,Dravidian,random_control,,4.0,1.3885380029678345,0.2904641628265381
telugu,Dravidian,random_control,,5.0,1.3243920803070068,0.22631824016571045
telugu,Dravidian,random_control,,6.0,1.6512547731399536,0.5531809329986572
telugu,Dravidian,random_control,,7.0,1.3425086736679077,0.24443483352661133
telugu,Dravidian,random_control,,8.0,1.2832872867584229,0.18521344661712646
telugu,Dravidian,random_control,,9.0,1.4367103576660156,0.33863651752471924
malayalam,Dravidian,baseline,,,0.984563946723938,0.0
malayalam,Dravidian,targeted,Indo-Aryan,,1.1930220127105713,0.2084580659866333
malayalam,Dravidian,targeted,Indo-European,,1.0747339725494385,0.09017002582550049
malayalam,Dravidian,targeted,Dravidian,,2.0524189472198486,1.0678550004959106
malayalam,Dravidian,random_control,,0.0,1.104117512702942,0.1195535659790039
malayalam,Dravidian,random_control,,1.0,1.2167418003082275,0.23217785358428955
malayalam,Dravidian,random_control,,2.0,1.9833695888519287,0.9988056421279907
malayalam,Dravidian,random_control,,3.0,1.1952102184295654,0.21064627170562744
malayalam,Dravidian,random_control,,4.0,1.0599931478500366,0.07542920112609863
malayalam,Dravidian,random_control,,5.0,1.1909308433532715,0.2063668966293335
